title,author,genres
Jackie  Me Baseball Card Adventure 2,"Gutman, Dan","['Sports', 'Historical Fiction', 'Baseball', 'Fiction', 'Fantasy', 'Time Travel', 'Childrens']"
Honus  Me A Baseball Card Adventure 1,"Gutman, Dan","['Sports', 'Historical Fiction', 'Baseball', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade']"
Wildflower Hill,"Freeman, Kimberley","['Historical Fiction', 'Fiction', 'Romance', 'Australia', 'Historical', 'Chick Lit', 'Contemporary']"
Oracle Night,"Auster, Paul","['Fiction', 'Contemporary', 'American', 'Literature', 'Novels', 'Mystery', 'Literary Fiction']"
As a Driven Leaf,"Steinberg, Milton","['Historical Fiction', 'Fiction', 'Jewish', 'Judaism', 'Judaica', 'Religion', 'Philosophy']"
Pollyanna Pollyanna 1,"Porter, Eleanor H.","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']"
Eleanor Rigby,"Coupland, Douglas *","['Fiction', 'Canada', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Canadian Literature']"
Journal 64 Department Q 4,"Adler-Olsen, Jussi","['Mystery', 'Crime', 'Thriller', 'Fiction', 'Mystery Thriller', 'Scandinavian Literature', 'Denmark']"
Homo Faber,"Frisch, Max","['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', '20th Century']"
The Revealers,"Wilhelm, Doug *","['Fiction', 'Young Adult', 'Realistic Fiction', 'School', 'Middle Grade', 'Childrens', 'Coming Of Age']"
Halo Contact Harvest,"Staten, Joseph","['Science Fiction', 'Fiction', 'Video Games', 'Military Fiction', 'Space', 'Fantasy', 'Space Opera']"
A Pony for Keeps Pony Pals 2,"Betancourt, Jeanne","['Horses', 'Childrens', 'Animals', 'Fiction', 'Middle Grade', 'Chapter Books', 'Contemporary']"
Harry Potter and the Methods of Rationality,"Yudkowsky, Eliezer *","['Fantasy', 'Fiction', 'Fan Fiction', 'Philosophy', 'Science Fiction', 'Young Adult', 'Humor']"
Summer of Love,"Fforde, Katie *","['Romance', 'Chick Lit', 'Fiction', 'Contemporary', 'Contemporary Romance', 'British Literature', 'Womens Fiction']"
