title,author,answer,citation
Scarlet King Raven 2,"Lawhead, Stephen R.","[0, """"]","['https://www.goodreads.com/book/show/611787.Scarlet', 'https://hardcover.app/books/scarlet-king-raven-2', 'https://www.pinterest.com/pin/739786676325118227/', 'https://www.goodreads.com/book/similar/85874913-gamora-nebula-sisters-in-arms', 'https://www.booknotification.com/authors/stephen-r-lawhead/']"
Elsies Endless Wait A Life of Faith Elsie Dinsmore 1,"Finley, Martha","[1, ""Elsie Dinsmore""]","['https://mooresville.evergreenindiana.org/Record/18569130?searchId=5762963&recordIndex=5&page=1', 'https://www.thriftbooks.com/w/the-a-life-of-faith-collection-elsies-endless-wait--millies-unsettled-season--violets-hidden-doubts--laylies-daring-quest_martha-finley_kersten-hamilton/445127/', 'https://blog.sipeed.com/data/Resources/fetch.php/lilas%20christmas%20angel%20sweet%20valley%20kids%2063%20by%20francine%20pascal.pdf', 'https://en.wikipedia.org/wiki/Elsie_Dinsmore', 'https://www.goodreads.com/book/show/611859']"
Elsies New Life A Life of Faith Elsie Dinsmore 3,"Finley, Martha","[1, ""Elsie Dinsmore""]","['https://en.wikipedia.org/wiki/Elsie_Dinsmore', 'https://www.goodreads.com/book/show/611861.Elsie_Dinsmore', 'https://www.youtube.com/watch?v=cZJwE-OdEP0', 'https://www.online-literature.com/forums/showthread.php?17599-Elsie-Dinsmore-Violet-Travilla-and-the-Millie-Keith-Series', 'https://blog.library.in.gov/historical-childrens-books-elsie-dinsmore/']"
Tis the Season for Revenge Seasons of Revenge 1,"Elizabeth, Morgan","[1, ""Abbie Keller""]","['https://lifeaccordingtojamie.com/2023/07/09/book-review-tis-the-season-for-revenge/', 'https://assets.thestorygraph.com/book_reviews/53438606-cc4a-456c-99aa-6597febce29a/content_warning/54', 'https://jeevesreads.com/2023/01/02/%E2%AD%90%EF%B8%8F%E2%AD%90%EF%B8%8F%E2%AD%90%EF%B8%8F%E2%AD%90%EF%B8%8F%E2%AD%90%EF%B8%8F-review-tis-the-season-for-revenge-by-morgan-elizabeth/', 'https://zajikaliblogs.wordpress.com/2022/12/11/tis-the-season-for-revenge-by-morgan-elizabeth-book-review/', 'https://thewordyhabitat.com/tis-the-season-for-revenge-book-review/']"
A Soul to Keep Duskwalker Brides 1,"Reyne, Opal","[1, ""Reia""]","['https://www.goodreads.com/book/show/61352716', 'https://www.romance.io/books/62aad529291966186e718eb1/a-soul-to-keep-opal-reyne', 'https://www.romance.io/books/62aad529291966186e718eb1/a-soul-to-keep-opal-reyne?src=rdt&thr=1hnsbq6', 'https://romancereadingcorner.wordpress.com/2022/06/27/a-soul-to-keep-duskwalker-brides-1/', 'https://www.instagram.com/opalreyne/p/DCzAXtFyZrT/?locale=es_us']"
One Last Day of Summer,"Low, Shari","[1, ""Bernadette""]","['https://www.goodreads.com/book/show/61221774-one-last-day-of-summer', 'https://beautyaddict32.co.uk/2022/07/one-last-day-of-summer.html', 'https://iheartbooksdotblog.wordpress.com/2022/07/23/one-last-day-of-summer/', 'https://thebookdecoder.com/2022/07/23/one-last-day-of-summer-by-shari-low/', 'https://sandysbookaday.wordpress.com/2022/07/27/one-last-day-of-summer-by-shari-low/']"
The Night Angel Trilogy Night Angel 13,"Weeks, Brent","[1, ""Viridiana Sovari""]","['https://www.brentweeks.com/extras/night-angel-extras/night-angel-character-list/', 'https://en.wikipedia.org/wiki/List_of_Night_Angel_characters', 'https://www.brentweeks.com/extras/night-angel-extras/graphic-novel-character-sketches/', 'https://fantasy-faction.com/2010/night-angel-trilogy-by-brent-weeks', 'https://www.grimdarkmagazine.com/review-night-angel-nemesis-by-brent-weeks/']"
King of Wrath Kings of Sin 1,"Huang, Ana","[1, ""Vivian Lau""]","['https://www.goodreads.com/book/show/217206738-king-of-wrath', 'https://nazahafreen.com/king-of-wrath-review/', 'https://dinipandareads.com/2023/02/27/book-review-king-of-wrath-by-ana-huang/', 'https://www.goodreads.com/book/show/214407871', 'https://www.romance.io/books/634e52e6d1ccecfcb179ffb3/king-of-wrath-ana-huang?src=rdt&thr=1ju46n1']"
The Waters Edge Konrad Sejer 8,"Fossum, Karin","[1, ""Kristine Ris""]","['https://www.bookbrowse.com/bb_briefs/detail/index.cfm/ezine_preview_number/4025/the-waters-edge', 'https://www.kirkusreviews.com/book-reviews/karin-fossum/the-waters-edge/', 'https://www.barnesandnoble.com/w/the-waters-edge-karin-fossum/1100303133', 'https://www.thriftbooks.com/w/the-waters-edge_karin-fossum/341284/', 'https://dev.bookbrowse.com/bb_briefs/detail/index.cfm/ezine_preview_number/4025/the-waters-edge']"
Susannahs Garden Blossom Street 3,"Macomber, Debbie","[1, ""Susannah Nelson""]","['https://www.goodreads.com/book/show/612401.Susannah_s_Garden', 'https://debbiemacomber.com/books/susannah-s-garden', 'https://e.harlequin.com/shop/books/9781488038310_susannahs-garden.html', 'https://catalog.cmpl.org/search/card?id=d8ff31ba-3332-5e87-94e6-56757a9eba21&entityType=FormatGroup', 'http://www.theintrepidreader.com/2008/07/susannahs-garden-by-debbie-macomber.html']"
Killer on the Moors DI Joanna Piercy 1,"Masters, Priscilla","[1, ""Joanna Piercy""]","['https://www.goodreads.com/book/show/61245863', 'https://www.goodreads.com/book/show/61245863-killer-on-the-moors', 'https://www.bookseriesinorder.com/joanna-piercy/', 'https://www.barnesandnoble.com/w/killer-on-the-moors-a-gripping-murder-mystery-priscilla-masters/1141715042', 'https://www.orderofbooks.com/characters/joanna-piercy/']"
Fairest of All Villains 1,"Valentino, Serena","[1, ""The Wicked Queen""]","['https://www.goodreads.com/book/show/6124802-fairest-of-all', 'https://www.goodreads.com/book/show/6124802.Fairest_of_All__Villains__1_', 'https://www.shelfreflection.com/blog/fairest-of-all', 'https://www.romance.io/books/545682e987eac33e571083bc', 'https://app.thestorygraph.com/book_reviews/004cf932-2682-4730-84a5-7ade225b193e?page=3']"
Silk,"Baricco, Alessandro","[1, ""Hélène Joncour""]","['https://booksandbakes1.wordpress.com/2016/08/31/silk-alessandro-baricco/', 'https://www.imdb.com/title/tt0494834/', 'https://assets.thestorygraph.com/book_reviews/aa4f548a-6b38-4960-a1e3-e40a1c895552/content_warning/45', 'https://readingintranslation.com/2024/11/25/the-double-life-of-silk-in-translation/', 'https://araandrodelyn.wordpress.com/2016/09/24/critic-silk-by-alessandro-baricco/']"
The House of Thunder,"Koontz, Dean","[1, ""Susan Thornton""]","['https://www.goodreads.com/book/show/61265308-the-house-of-thunder', 'https://www.deankoontz.com/house-of-thunder-from-the-author/', 'https://app.thestorygraph.com/book_reviews/c1ab2c1f-814d-43a8-b731-090e04e5b372?page=10', 'https://www.enotes.com/topics/house-thunder', 'https://app.thestorygraph.com/book_reviews/1ee8392f-36a3-4874-8914-22a0a2067083?page=6']"
Burnt on the Moors DI Joanna Piercy 2,"Masters, Priscilla","[1, ""Joanna Piercy""]","['https://www.goodreads.com/book/show/66383688', 'https://www.goodreads.com/book/show/61287983-burnt-on-the-moors', 'https://www.bookseriesinorder.com/priscilla-masters/', 'https://www.bookseries.org/authors/priscilla-masters/', 'https://communicationstudies.wvu.edu/files/d/bf757732-b79b-48d1-addb-2bd23fcdd25d/1358108097-3.pdf']"
The Lonely Londoners,"Selvon, Sam","[0, """"]","['https://www.open.edu/openlearn/history-the-arts/literature/sam-selvon-the-lonely-londoners/content-section-3.3', 'https://www.litcharts.com/lit/the-lonely-londoners/characters', 'https://www.litcharts.com/lit/the-lonely-londoners/characters/agnes', 'https://www.gradesaver.com/the-lonely-londoners/study-guide/character-list', 'https://bookbrief.io/books/the-lonely-londoners-sam-selvon/character-analysis']"
