title,author,answer,citation
Jackie  Me Baseball Card Adventure 2,"Gutman, Dan","[0, """"]","['https://dangutman.com/dans-books/baseball-card-adventure-series/', 'https://www.goodreads.com/book/show/1000153.Jackie_Me', 'https://en.wikipedia.org/wiki/Baseball_Card_Adventures', 'https://www.decaturproud.org/decatur-high-ability-academy/files/documents/Book%20List.pdf', 'https://www.lycoming.edu/schemata/pdfs/cline_booktalkprep_final.pdf']"
Honus  Me A Baseball Card Adventure 1,"Gutman, Dan","[0, """"]","['https://www.goodreads.com/book/show/1000164.Honus_Me', 'https://www.supersummary.com/honus-and-me/summary/', 'https://readersandwritersparadise.com/honusandme/', 'https://en.wikipedia.org/wiki/Baseball_Card_Adventures', 'https://dangutman.com/dans-books/baseball-card-adventure-series/']"
Wildflower Hill,"Freeman, Kimberley","[1, ""Beattie Blaxland""]","['https://www.goodreads.com/book/show/10002296-wildflower-hill', 'https://www.simonandschuster.com/books/Wildflower-Hill/Kimberley-Freeman/9781451623499', 'https://historicalnovelsociety.org/reviews/wildflower-hill/', 'http://susancoventry.blogspot.com/2012/02/book-review-wildflower-hill-by.html', 'https://goodbookfairy.com/wildflower-hill/']"
Oracle Night,"Auster, Paul","[1, ""Grace""]","['https://en.wikipedia.org/wiki/Oracle_Night', 'https://scholarworks.aub.edu.lb/handle/10938/21855', 'https://www.gordsellar.com/2014/04/15/paul-auster-on-writing-in-oracle-night/', 'https://www.goodreads.com/book/show/458', 'https://www.bookey.app/book/oracle-night']"
As a Driven Leaf,"Steinberg, Milton","[0, """"]","['https://reformjudaism.org/driven-leaf-milton-steinberg', 'http://www.jewishideasdaily.com/6210/features/as-a-driven-leaf/', 'https://www.goodreads.com/book/show/38611013', 'https://journals.library.columbia.edu/index.php/ari/article/download/9759/4913', 'https://www.myjewishlearning.com/article/as-a-driven-leaf/']"
Pollyanna Pollyanna 1,"Porter, Eleanor H.","[1, ""Pollyanna Whittier""]","['https://en.wikipedia.org/wiki/Pollyanna', 'https://www.golittleton.com/eleanor_porter.php', 'https://www.ebsco.com/research-starters/literature-and-writing/pollyanna-eleanor-h-porter', 'https://karynskidlitreviews.wordpress.com/2016/12/12/pollyanna-1913-by-eleanor-h-porter/', 'http://vincereview.blogspot.com/2023/01/pollyanna-by-eleanor-h-porter.html']"
Eleanor Rigby,"Coupland, Douglas","[1, ""Liz Dunn""]","['https://en.wikipedia.org/wiki/Eleanor_Rigby_(novel)', 'https://bookbrief.io/books/eleanor-rigby-douglas-coupland/character-analysis', 'https://the-openbook.com/2022/02/06/by-the-book-41-eleanor-rigby-by-douglas-coupland/', 'https://fellfromfiction.wordpress.com/2014/11/02/eleanor-rigby-by-douglas-coupland-2004/', 'https://www.hackwriters.com/eleanorrigby.htm']"
Journal 64 Department Q 4,"Adler-Olsen, Jussi","[1, ""Nete Rosen""]","['https://www.goodreads.com/book/similar/21962567-politi', 'https://www.goodreads.com/book/similar/2038062-frelseren', 'https://shaindel-belleven97.blogspot.com/?%2Fbook%2F5%2F0%2C9%2F9%2F71_0%2C0%2C0%2C80%2C5%2F6%2F0%2C2%2F41_3.html&m=1', 'https://sobrief.com/books/the-purity-of-vengeance', 'https://www.goodreads.com/book/show/11174251-the-keeper-of-lost-causes']"
Homo Faber,"Frisch, Max","[1, ""Hanna Piper""]","['https://www.gradesaver.com/homo-faber/study-guide/character-list', 'https://en.wikipedia.org/wiki/Homo_Faber_(novel)', 'https://www.imdb.com/title/tt3907334/', 'https://www.enotes.com/topics/homo-faber/characters', 'https://www.antistudy.com/study-guide/idsid/6425/5910/homo-faber/characters']"
The Revealers,"Wilhelm, Doug","[1, ""Catalina""]","['https://www.dougwilhelm.com/about-revealers/behind-the-book/the-characters.html', 'https://study.com/academy/lesson/the-revealers-book-summary-characters-quotes.html', 'https://en.wikipedia.org/wiki/The_Revealers', 'https://dougwilhelm.com/about-revealers/behind-the-book.html', 'https://kids.kiddle.co/The_Revealers']"
Halo Contact Harvest,"Staten, Joseph","[0, """"]","['https://app.thestorygraph.com/book_reviews/9d0022f7-71fd-44a6-a903-c3d089289957', 'https://www.goodreads.com/book/show/1001442.Halo', 'https://en.wikipedia.org/wiki/Halo:_Contact_Harvest', 'https://bitsandpieces.games/2020/08/19/bookclubbing-halo-contact-harvest-review/', 'https://en.wikipedia.org/wiki/List_of_Halo_characters']"
A Pony for Keeps Pony Pals 2,"Betancourt, Jeanne","[1, ""Anna""]","['https://www.goodreads.com/book/show/1001506.A_Pony_for_Keeps', 'https://www.bookshare.org/browse/language?resultsView=LIST&offset=98700&sortOrder=AUTHOR&direction=ASC&limit=25&language=ENGLISH', 'https://chasingsupermom.com/2013/08/14/25-chapter-books-for-k-2-girls/', 'https://www.thriftbooks.com/w/the-magic-pony_jeanne-betancourt/321709/', 'https://www.thriftbooks.com/w/more-than-meets-the-eye_jeanne-betancourt/1315314/']"
